Symbol,Security,GICSSector,GICS Sub Industry,Location,Date first added,CIK,Founded
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,"Burbank, California",6/30/1976,1001039,
DISCA,Discovery Inc.ÿClass A,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1437107,
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,1065280,1997
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,
DLR,Digital RealtyÿTrust Inc,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,1297996,
DRE,Duke RealtyÿCorp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,783280,
DTE,DTE EnergyÿCo.,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,
DVN,Devon EnergyÿCorp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,
DWDP,DowDuPont,Materials,Diversified Chemicals,"Midland, Michigan",,1666700,2017
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/2002,712515,
ECL,EcolabÿInc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462,
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",1/5/2006,1001250,
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/2000,821189,
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",3/20/2015,1101239,
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,48039,1947
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,831259,1912
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/2009,37785,
